Ward Name,La Name,Ward Code,La Code,Value
Piccadilly,Manchester,E08000003,E05011376,
Deansgate,Manchester,E05011361,E08000003
Ardwick,Manchester,E05011351,E08000003
Hulme,Manchester,E05011368,E08000003
Miles Platting & Newton Heath,Manchester,E05011371,E08000003
Moston,Manchester,E05011373,E08000003
Charlestown,Manchester,E05011355,E08000003
Ancoats & Beswick,Manchester,E05011350,E08000003
Harpurhey,Manchester,E05011366,E08000003
Cheetham,Manchester,E05011356,E08000003
Clayton & Openshaw,Manchester,E05011359,E08000003
Longsight,Manchester,E05011370,E08000003
Rusholme,Manchester,E05011377,E08000003
Levenshulme,Manchester,E05011369,E08000003
Gorton & Abbey Hey,Manchester,E05011365,E08000003
Old Moat,Manchester,E05011375,E08000003
Moss Side,Manchester,E05011372,E08000003
Whalley Range,Manchester,E05011379,E08000003
Fallowfield,Manchester,E05011364,E08000003
Didsbury West,Manchester,E05011363,E08000003
Withington,Manchester,E05011380,E08000003
Chorlton,Manchester,E05011357,E08000003
Chorlton Park,Manchester,E05011358,E08000003
Burnage,Manchester,E05011354,E08000003
Didsbury East,Manchester,E05011362,E08000003
Northenden,Manchester,E05011374,E08000003
Woodhouse Park,Manchester,E05011381,E08000003
Sharston,Manchester,E05011378,E08000003
Baguley,Manchester,E05011352,E08000003
Brooklands,Manchester,E05011353,E08000003
Higher Blackley,Manchester,E05011367,E08000003
Crumpsall,Manchester,E05011360,E08000003
